what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Oracle Corporation",1597244067840
java.specification.version,sysinfo,,,"1.8",1597244067840
java.vendor,sysinfo,,,"Oracle Corporation",1597244067840
java.version,sysinfo,,,"1.8.0_261",1597244067840
java.vm.info,sysinfo,,,"mixed mode",1597244067840
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1597244067840
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1597244067840
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1597244067840
java.vm.specification.version,sysinfo,,,"1.8",1597244067840
java.vm.vendor,sysinfo,,,"Oracle Corporation",1597244067840
java.vm.version,sysinfo,,,"25.261-b12",1597244067840
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1597244068785
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1597244068855
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1597244068910
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1597244069300
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1597244069315
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1597244069959
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1597244069975
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1597244070091
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1597244070144
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1597244070160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597244073939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597244113950
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597244122401
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1597244124344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597244124475
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597244152217
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597244152248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597244152386
error,log,,,"Error while parsing /Ders28/src/Ders28.cpp.",1597244155205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597246857212
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597246864896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597246875978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597247354622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597247356173
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597247401184
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597247442294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597247443029
error,log,,,"Error while parsing /Ders28/src/Ders28.cpp.",1597247443240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597247444443
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1597247444559
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1597247444790
