what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error while parsing /Ders15/src/Ders15.cpp.",1596912100175
error,log,,,"Error while parsing /Ders13/src/Ders13.cpp.",1596912100465
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596912100767
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596912110294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912111266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912182011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912183131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912185300
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1596912185316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912188897
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596912226095
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596912226126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912226195
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912226512
error,log,,,"Error while parsing /Ders16/src/Ders16.cpp.",1596912226766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912230425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912237505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912253926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912267195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912272570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912293420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912294635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912328888
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912331506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912382127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912399839
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912406022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912407260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912433065
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912440871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912480325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912492118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912497228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912543722
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596912622071
error,log,,,"Error while parsing /Ders16/src/Ders16.cpp.",1596912622356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912623679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912623701
error,log,,,"Error while parsing /Ders16/src/Ders16.cpp.",1596912626214
error,log,,,"Error while parsing /Ders13/src/Ders13.cpp.",1596912626489
error,log,,,"Error while parsing /Ders15/src/Ders15.cpp.",1596912626758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912640467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912666610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596912668783
error,log,,,"Error while parsing /Ders16/src/Ders16.cpp.",1596912669069
error,log,,,"Error while parsing /Ders16/src/Ders16.cpp.",1596912672714
error,log,,,"Error while parsing /Ders13/src/Ders13.cpp.",1596912673015
error,log,,,"Error while parsing /Ders15/src/Ders15.cpp.",1596912673357
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912677357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912764298
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912775098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912777858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912832948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912834768
error,log,,,"Error while parsing /Ders16/src/Ders16.cpp.",1596912835228
error,log,,,"Error while parsing /Ders16/src/Ders16.cpp.",1596912837973
error,log,,,"Error while parsing /Ders13/src/Ders13.cpp.",1596912838318
error,log,,,"Error while parsing /Ders15/src/Ders15.cpp.",1596912838658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912846688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596912849101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596912991921
error,log,,,"Error while parsing /Ders16/src/Ders16.cpp.",1596912992211
error,log,,,"Error while parsing /Ders16/src/Ders16.cpp.",1596912995647
error,log,,,"Error while parsing /Ders13/src/Ders13.cpp.",1596912995918
error,log,,,"Error while parsing /Ders15/src/Ders15.cpp.",1596912996183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913006707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913007038
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913007378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913007979
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913013033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913013419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913016136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913016539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913018075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913018460
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913019181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913019566
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913022135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913022473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913024200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913223614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913245013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913428279
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913430453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913431494
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596913431663
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1596913432026
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1596913432026
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1596913432026
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1596913432026
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1596913432026
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1596913432026
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1596913432026
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1596913432026
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1596913432026
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1596913432026
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.traditional",1596913432026
stopped,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1596913432026
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1596913432026
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1596913432026
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1596913432026
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1596913432026
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1596913432042
