what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596805745095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596805750450
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596805784523
error,log,,,"Error while parsing /Ders4/src/Ders4.cpp.",1596805785021
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1596805785942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596805786227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596805789869
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1596805796251
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1596805796253
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1596805796255
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596805796411
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596805803679
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596805809459
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596805822137
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596805826328
error,log,,,"Error while parsing /Ders4/src/Ders4.cpp.",1596805826679
error,log,,,"Error while parsing /Ders4/src/Ders4.cpp.",1596805830038
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596805830738
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596805833419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596805843197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596806101563
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1596806107101
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1596806109758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596806109938
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596806139407
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596806139468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596806139565
error,log,,,"Error while parsing /Ders5/src/Ders5.cpp.",1596806140567
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596806141867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596806142335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596806144433
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596806144543
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596806144546
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1596806144561
error,log,,,"Error while parsing /Ders4/src/Ders4.cpp.",1596806144895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596806166344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596806174476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1596806257076
