what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1596902885790
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1596902885790
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1596902885790
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1596902885790
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1596902885790
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1596902885790
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1596902885790
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1596902885790
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1596902885790
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1596902885805
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1596902885805
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1596902885805
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1596902885805
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1596902885805
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1596902885805
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1596902885805
os,sysinfo,,,"win32",1596902885805
arch,sysinfo,,,"x86_64",1596902885805
ws,sysinfo,,,"win32",1596902885805
locale,sysinfo,,,"tr_TR",1596902885805
processors,sysinfo,,,"8",1596902885805
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1596902885805
java.runtime.version,sysinfo,,,"1.8.0_261-b12",1596902885805
java.specification.name,sysinfo,,,"Java Platform API Specification",1596902885805
java.specification.vendor,sysinfo,,,"Oracle Corporation",1596902885805
java.specification.version,sysinfo,,,"1.8",1596902885805
java.vendor,sysinfo,,,"Oracle Corporation",1596902885805
java.version,sysinfo,,,"1.8.0_261",1596902885805
java.vm.info,sysinfo,,,"mixed mode",1596902885805
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1596902885805
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1596902885805
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1596902885805
java.vm.specification.version,sysinfo,,,"1.8",1596902885805
java.vm.vendor,sysinfo,,,"Oracle Corporation",1596902885805
java.vm.version,sysinfo,,,"25.261-b12",1596902885805
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1596902885805
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1596902885852
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1596902885852
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1596902886021
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1596902886021
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1596902886037
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1596902886053
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1596902886075
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596902888149
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596902888202
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596902888734
