what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1597239537451
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1597239537482
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.search.finddecl",1597239537582
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597239540452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239541892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239553888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239555838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239556815
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1597239562392
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.search.finddecl",1597239562398
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597239568634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239654805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239727086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239738271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239740880
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597239741997
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1597239745184
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1597239746023
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1597239746872
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1597239747906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1597239751699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1597239760068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597239762619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239822703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239825763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239826195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239841710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597239892675
error,log,,,"Error while parsing /Ders26/src/Ders26.cpp.",1597239892958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239893685
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597239893716
