what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1597048910207
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1597048910227
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1597048910256
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1597048910298
error,log,,,"Error while parsing /Ders1/src/Ders1.cpp.",1597048911389
error,log,,,"Error while parsing /Ders10/src/Ders10.cpp.",1597048912686
error,log,,,"Error while parsing /Ders11/src/Ders11.cpp.",1597048913983
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597048915071
error,log,,,"Error while parsing /Ders12/src/Ders12.cpp.",1597048915216
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597048915244
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597048915244
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1597048915266
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597048916236
error,log,,,"Error while parsing /Ders13/src/Ders13.cpp.",1597048916263
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597048916273
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597048916273
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1597048917266
error,log,,,"Error while parsing /Ders15/src/Ders15.cpp.",1597048917290
opened,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597048917690
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1597048917875
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1597048917966
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1597048918186
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597048918186
error,log,,,"Error while parsing /Ders16/src/Ders16.cpp.",1597048918416
error,log,,,"Error while parsing /Ders17/src/Ders17.cpp.",1597048919461
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597048919726
error,log,,,"Error while parsing /Ders18/src/Ders18.cpp.",1597048920401
error,log,,,"Error while parsing /Ders19/src/Ders19.cpp.",1597048921236
error,log,,,"Error while parsing /Ders2/src/Ders2.cpp.",1597048922036
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1597048922606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597048922916
error,log,,,"Error while parsing /Ders20/src/Ders20.cpp.",1597048923065
error,log,,,"Error while parsing /Ders20/src/Employee.cpp.",1597048923756
error,log,,,"Error while parsing /Ders3/src/Ders3.cpp.",1597048924835
error,log,,,"Error while parsing /Ders4/src/Ders4.cpp.",1597048925883
error,log,,,"Error while parsing /Ders5/src/Ders5.cpp.",1597048926824
error,log,,,"Error while parsing /Ders6/src/Ders6.cpp.",1597048927735
error,log,,,"Error while parsing /Ders7/src/Ders7.cpp.",1597048928676
error,log,,,"Error while parsing /Ders8/src/Ders8.cpp.",1597048929455
error,log,,,"Error while parsing /Ders9/src/Ders9.cpp.",1597048930126
error,log,,,"Error while parsing /First_Proje/src/First_Proje.cpp.",1597048930825
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597048933845
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597048933911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597048934101
error,log,,,"Error while parsing /Ders21/src/Ders21.cpp.",1597048935040
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597048939446
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1597048939595
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597048940656
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597048942256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597048942326
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1597048942356
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1597048942356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597048944846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597048956336
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597049047922
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597049047953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049048069
error,log,,,"Error while parsing /Ders21/src/Ders21.cpp.",1597049049025
error,log,,,"Error while parsing /Ders21/src/Ders21.cpp.",1597049050066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049103361
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049104886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049122458
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049130084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049142141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049143193
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597049157412
error,log,,,"Error while parsing /Ders21/src/Ders21.cpp.",1597049157870
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1597049158883
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1597049158930
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1597049158946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049158946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049159030
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1597049159084
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1597049159099
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1597049159131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049159400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049176120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049198115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049198371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049199631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049215117
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049257668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049265420
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597049276790
error,log,,,"Error while parsing /Ders21/src/Ders21.cpp.",1597049277230
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1597049281070
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1597049281070
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1597049281070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049286660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049345685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049368068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597049370213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1597049416395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597049418100
error,log,,,"Error while parsing /Ders21/src/Ders21.cpp.",1597049418423
error,log,,,"Error while parsing /Ders21/src/Ders21.cpp.",1597049421786
