what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1598975279138
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1598975279138
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1598975279138
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1598975279138
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1598975279138
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1598975279138
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1598975279138
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1598975279138
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1598975279138
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1598975279138
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1598975279138
os,sysinfo,,,"win32",1598975279138
arch,sysinfo,,,"x86_64",1598975279138
ws,sysinfo,,,"win32",1598975279138
locale,sysinfo,,,"tr_TR",1598975279138
processors,sysinfo,,,"8",1598975279138
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1598975279138
java.runtime.version,sysinfo,,,"1.8.0_261-b12",1598975279138
java.specification.name,sysinfo,,,"Java Platform API Specification",1598975279138
java.specification.vendor,sysinfo,,,"Oracle Corporation",1598975279138
java.specification.version,sysinfo,,,"1.8",1598975279138
java.vendor,sysinfo,,,"Oracle Corporation",1598975279138
java.version,sysinfo,,,"1.8.0_261",1598975279138
java.vm.info,sysinfo,,,"mixed mode",1598975279138
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1598975279138
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1598975279138
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1598975279138
java.vm.specification.version,sysinfo,,,"1.8",1598975279138
java.vm.vendor,sysinfo,,,"Oracle Corporation",1598975279138
java.vm.version,sysinfo,,,"25.261-b12",1598975279138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598975279238
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1598975279872
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1598975279912
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1598975279942
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1598975280132
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1598975280152
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1598975280162
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1598975280742
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1598975280753
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1598975280927
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1598975280995
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1598975281003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598975281047
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1598975281872
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1598975281881
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1598975281901
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1598975281915
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1598975281941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598975284851
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1598975286368
opened,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1598975286723
