what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298649350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298651175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298652099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298683724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298688770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298689718
error,log,,,"Error while parsing /Ders33/src/Ders33.cpp.",1597298690119
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298690457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298691475
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298693378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298706372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597298717029
error,log,,,"Error while parsing /Ders33/src/Ders33.cpp.",1597298717314
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1597298721679
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597298722765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298731376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298732478
error,log,,,"Error while parsing /Ders33/src/Ders33.cpp.",1597298732879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298734783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298734968
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1597298734984
error,log,,,"Error while parsing /Ders32/src/Ders32.cpp.",1597298735115
error,log,,,"Error while parsing /Ders33/src/Ders33.cpp.",1597298735385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298737966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298743560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298744161
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298750635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298751289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298752606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298752690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298753575
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597298753606
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597298753760
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1597298754409
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1597298754509
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1597298754509
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1597298754524
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1597298754524
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1597298754524
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1597298754540
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1597425911722
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1597425911728
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1597425911728
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1597425911728
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1597425911728
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1597425911728
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1597425911731
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1597425911731
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1597425911731
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1597425911731
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1597425911731
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1597425911731
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1597425911731
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1597425911731
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1597425911731
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1597425911731
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1597425911731
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1597425911731
