what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992683482
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1596992683506
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1596992683506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992687576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992692078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992696792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992720471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992730082
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992753189
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992753218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992753286
error,log,,,"Error while parsing /Ders20/src/Ders20.cpp.",1596992753979
error,log,,,"Error while parsing /Ders19/src/Ders19.cpp.",1596992755329
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992759877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992763544
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992763675
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992763709
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992766858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596992768117
error,log,,,"Error while parsing /Ders19/src/Ders19.cpp.",1596992768411
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992769677
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992770157
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992770157
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992770898
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992770927
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992772275
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992772275
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992774137
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992774997
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992774997
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1596992779570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992789564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992821162
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992821264
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596992821316
error,log,,,"Error while parsing /Ders19/src/Ders19.cpp.",1596992821560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992831447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992860795
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992887238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992888434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992939108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992943316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992958651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992959891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596992971796
error,log,,,"Error while parsing /Ders19/src/Ders19.cpp.",1596992972118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992972694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992974999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992982389
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992984562
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1596992984657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596992994111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993012169
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993012526
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993012555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993013649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993015927
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993020831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993022170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993043079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993074937
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1596993074981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993078587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993099396
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1596993099440
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1596993123045
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1596993123054
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1596993123125
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1596993123132
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1596993123246
opened,view,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui.HelpView",1596993123251
activated,view,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui.HelpView",1596993123517
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.help.dynamicHelp",1596993123539
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993127522
closed,view,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui.HelpView",1596993127525
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993152491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993168522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993200473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993232945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596993279468
error,log,,,"Error while parsing /Ders20/src/Employee.cpp.",1596993279869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993283488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993284662
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993293281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596993294490
error,log,,,"Error while parsing /Ders20/src/Employee.cpp.",1596993294783
error,log,,,"Error while parsing /Ders19/src/Ders19.cpp.",1596993295078
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993295656
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993297295
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993297808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596993298674
error,log,,,"Error while parsing /Ders20/src/Employee.cpp.",1596993298955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1596993314890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1596993324209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1596993325538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596993347417
error,log,,,"Error while parsing /Ders20/src/Employee.cpp.",1596993347739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993350234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993350276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993351360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993353150
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596993353165
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993358973
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993358990
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993368721
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1596993372636
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596993373610
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1596993375745
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1596993377125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1596993379352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993381829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993384826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1596993431957
error,log,,,"Error while parsing /Ders20/src/Ders20.cpp.",1596993432268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993434185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993438528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596993446350
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1596996023562
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596996023662
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1596996036350
