what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1598007868682
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1598007868682
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1598007868682
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1598007868698
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1598007868698
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1598007868698
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1598007868698
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1598007868698
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1598007868698
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1598007868698
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1598007868698
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1598007868698
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1598007868698
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1598007868698
os,sysinfo,,,"win32",1598007868698
arch,sysinfo,,,"x86_64",1598007868698
ws,sysinfo,,,"win32",1598007868698
locale,sysinfo,,,"tr_TR",1598007868698
processors,sysinfo,,,"8",1598007868698
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1598007868698
java.runtime.version,sysinfo,,,"1.8.0_261-b12",1598007868698
java.specification.name,sysinfo,,,"Java Platform API Specification",1598007868698
java.specification.vendor,sysinfo,,,"Oracle Corporation",1598007868698
java.specification.version,sysinfo,,,"1.8",1598007868698
java.vendor,sysinfo,,,"Oracle Corporation",1598007868698
java.version,sysinfo,,,"1.8.0_261",1598007868698
java.vm.info,sysinfo,,,"mixed mode",1598007868698
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1598007868698
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1598007868698
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1598007868698
java.vm.specification.version,sysinfo,,,"1.8",1598007868698
java.vm.vendor,sysinfo,,,"Oracle Corporation",1598007868698
java.vm.version,sysinfo,,,"25.261-b12",1598007868698
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1598007869436
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1598007869527
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1598007869575
