what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957228553
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1597957237915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957238817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957297345
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1597957299966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957302967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957307675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1597957309207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957311493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957349713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1597957352805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957354092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957362335
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1597957365506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957367006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597957563020
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597957563051
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597957572726
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597957572748
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597957586234
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597957587575
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597957612660
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597957620759
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597957620790
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597957622163
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597957690531
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597957700300
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597957708918
