what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680256683
error,log,,,"Error while parsing /Ders5 Template/src/Ders5 Template.cpp.",1597680257269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680258129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680283287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680307824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680309289
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1597680331032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680339416
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680345121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680356851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680358040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1597680377153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597680378842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597680379505
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597680381446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597680406212
error,log,,,"Error while parsing /Ders5 Template/src/Ders5 Template.cpp.",1597680406482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680408414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680408451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680408514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680409385
error,log,,,"Error while parsing /Ders4 Try Catch/src/Ders4 Try Catch.cpp.",1597680409739
error,log,,,"Error while parsing /Ders3 Overriding/src/Ders3 Overriding.cpp.",1597680411916
error,log,,,"Error while parsing /Ders5 Template/src/Ders5 Template.cpp.",1597680412174
error,log,,,"Error while parsing /Ders4 Try Catch/src/Ders4 Try Catch.cpp.",1597680412426
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597680418059
error,log,,,"Error while parsing /Ders5 Template/src/Ders5 Template.cpp.",1597680418306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680419293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680658342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680678110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680731870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597680734682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1597680740406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597680742140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1597680744989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597680748345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680751922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680776140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680809457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680899895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597680913575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597680940254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597681207548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597681210251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597681369794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597681378735
error,log,,,"Error while parsing /Ders5 Template/src/Ders5 Template.cpp.",1597681379010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597681380477
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597681381747
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597681388280
error,log,,,"Error while parsing /Ders5 Template/src/Ders5 Template.cpp.",1597681388544
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1597681394226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597681398133
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597681419668
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597681419730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597681419799
error,log,,,"Error while parsing /Ders6 Tepmlate Class/src/Ders6 Tepmlate Class.cpp.",1597681420311
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597681423505
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1597681425040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597681428300
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1597681448249
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597681462296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1597681475719
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1597681479550
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1597681494424
